topic_id,category_id,post_count,avg_score
114308,7,1,1223.8
114405,7,2,9.5
114412,7,2,17406.0
114413,21,1,43.8
114428,19,24,1669.2250000000004
114444,7,9,707.6888888888888
11446,7,2,81.7
114491,7,1,69.6
114542,21,2,5426.5
114565,7,1,1438.6
114596,7,6,490.8666666666666
114603,19,1,91.2
11460,7,3,29.8
114623,19,3,97.33333333333331
114633,7,2,283.1
11467,21,4,76.55
11468,7,6,297.43333333333334
114692,19,2,116.3
114717,7,1,448.6
114745,21,2,39.599999999999994
114756,7,2,315.09999999999997
114768,19,4,73.2
114774,21,2,76.4
114893,7,2,191.0
114919,7,8,16549.524999999998
11491,21,3,847.5333333333333
114921,21,3,350.2
114930,7,5,631.4
114935,7,3,111.46666666666668
114942,19,2,37.900000000000006
114953,21,3,36.733333333333334
115022,19,2,11.5
115033,19,5,450.6
115057,19,1,56.6
115064,7,3,5385.2
115069,7,2,39.1
115073,19,1,167.6
115078,7,2,28.299999999999997
115082,21,4,794.65
115135,19,2,82.2
115140,7,1,168.4
115176,7,4,1327.8
115192,19,2,94.1
115242,7,5,74.16
115254,19,2,119.0
115264,8,6,712.1999999999999
115295,21,25,1998.2319999999995
115309,19,1,467.2
115317,7,9,137.51111111111106
115399,7,7,1727.9999999999998
115404,7,3,355.4666666666667
115433,21,27,889.1851851851852
115468,7,6,506.2
115479,7,2,1209.1000000000001
115497,19,68,1827.3058823529414
115500,19,1,101.0
11550,7,2,872.9000000000001
115512,7,8,370.54999999999995
115524,19,7,825.0857142857143
115537,7,1,238.4
115551,19,1,76.0
115578,19,1,40.4
115579,7,4,268.7
115629,19,1,80.6
11562,21,6,33.56666666666666
11564,7,4,110.89999999999999
1156,7,10,92.05999999999999
115701,7,3,66.73333333333333
115731,6,110,349.5672727272728
115793,7,1,107.4
115796,21,1,5523.0
115804,19,5,1309.68
115853,7,2,56.9
11587,7,3,50.800000000000004
11588,21,2,100.80000000000001
115919,19,28,367.9642857142858
11592,7,3,235.13333333333335
115965,7,12,2660.6499999999996
11597,8,9,186.66666666666666
116002,7,6,406.3
116130,7,2,445.9
116144,7,34,1990.082352941177
116168,7,5,76.24
116175,8,1,430.0
11624,7,2,473.70000000000005
116272,7,3,79.26666666666667
116285,7,1,21.0
116306,7,3,445.3333333333333
116326,7,9,703.088888888889
116335,21,2,8111.5
11633,7,4,51.800000000000004
116352,7,1,11.2
116362,21,1,94.8
116369,21,2,30.7
11636,21,2,57.4
116557,19,1,41.6
11656,8,2,38.6
116585,8,2,1432.3
11658,7,7,387.3428571428571
116602,19,1,66.4
116622,21,5,995.96
11662,7,12,1984.0500000000002
11663,21,8,120.24999999999999
116673,7,1,21.0
116676,7,12,174.1333333333333
11667,7,6,40.43333333333333
116683,7,3,960.9999999999999
116726,19,1,48.2
11672,8,3,28.066666666666666
116747,7,4,172.05
11674,7,6,24.399999999999995
116756,19,1,21.6
116780,7,3,15.066666666666668
116807,19,32,914.1187499999999
116845,7,7,113.57142857142858
11687,8,6,637.2
116884,7,4,1455.5
116886,7,5,2229.7599999999998
116904,7,3,66.13333333333334
116916,19,1,393.0
117006,7,2,437.59999999999997
117016,19,2,1045.6999999999998
117031,7,8,1506.125
117038,19,1,120.8
117050,8,1,60.8
117064,7,3,310.0
117077,7,2,17.9
117107,21,2,210.7
117138,7,1,337.2
